2020,2040
Mode,Speed,CO,CO2,NOX,PM10,SOX,VOC,PM2.5,CO,CO2,NOX,PM10,SOX,VOC,PM2.5
Auto,45,1.0739,289.8098,0.0893,0.0014,0.0029,0.0273,0.0013,0.4770,193.3375,0.0235,0.0005,0.0019,0.0112,0.0004
Auto,46,1.0644,291.6375,0.0895,0.0014,0.0029,0.0272,0.0013,0.4717,194.4847,0.0235,0.0005,0.0019,0.0112,0.0004
Auto,47,1.0549,293.4651,0.0897,0.0014,0.0029,0.0271,0.0012,0.4664,195.6319,0.0235,0.0005,0.0019,0.0111,0.0004
Auto,48,1.0454,295.2927,0.0898,0.0013,0.0029,0.0270,0.0012,0.4611,196.7791,0.0234,0.0005,0.0019,0.0110,0.0004
Auto,49,1.0359,297.1204,0.0900,0.0013,0.0029,0.0269,0.0012,0.4558,197.9263,0.0234,0.0005,0.0020,0.0109,0.0004
Auto,50,1.0264,298.9480,0.0901,0.0013,0.0030,0.0268,0.0012,0.4506,199.0735,0.0234,0.0005,0.0020,0.0109,0.0004
Auto,51,1.0176,301.2656,0.0905,0.0013,0.0030,0.0269,0.0012,0.4463,200.6160,0.0234,0.0005,0.0020,0.0110,0.0004
Auto,52,1.0088,303.5831,0.0908,0.0013,0.0030,0.0271,0.0012,0.4420,202.1586,0.0235,0.0005,0.0020,0.0110,0.0004
Auto,53,0.9999,305.9006,0.0912,0.0013,0.0030,0.0272,0.0012,0.4377,203.7011,0.0235,0.0005,0.0020,0.0111,0.0004
Auto,54,0.9911,308.2182,0.0915,0.0013,0.0030,0.0273,0.0012,0.4334,205.2437,0.0236,0.0005,0.0020,0.0112,0.0004
Auto,55,0.9822,310.5357,0.0919,0.0013,0.0031,0.0274,0.0012,0.4291,206.7862,0.0237,0.0005,0.0020,0.0113,0.0004
Auto,56,0.9679,312.2601,0.0915,0.0014,0.0031,0.0275,0.0013,0.4253,208.1718,0.0238,0.0005,0.0021,0.0115,0.0004
