2020,2040
Mode,Speed,CO,CO2,NOX,PM10,SOX,VOC,PM2.5,CO,CO2,NOX,PM10,SOX,VOC,PM2.5
Bus,47,3.7875,1291.9659,2.4595,0.0171,0.0115,0.0639,0.0164,3.8424,980.6590,0.4230,0.0045,0.0082,0.0146,0.0043
Bus,48,3.7037,1291.4326,2.4952,0.0177,0.0115,0.0629,0.0170,3.7582,980.5119,0.4202,0.0047,0.0082,0.0144,0.0045
Bus,49,3.6199,1290.8994,2.5309,0.0184,0.0115,0.0620,0.0175,3.6739,980.3647,0.4173,0.0050,0.0082,0.0142,0.0048
Bus,50,3.5361,1290.3661,2.5666,0.0190,0.0115,0.0610,0.0181,3.5897,980.2176,0.4145,0.0053,0.0082,0.0140,0.0050
Bus,51,3.3966,1282.7008,2.7690,0.0208,0.0115,0.0615,0.0198,3.5005,975.8673,0.4381,0.0059,0.0082,0.0139,0.0056
Bus,52,3.2572,1275.0355,2.9713,0.0226,0.0114,0.0620,0.0216,3.4112,971.5171,0.4617,0.0065,0.0082,0.0138,0.0062
Bus,53,3.1177,1267.3703,3.1736,0.0244,0.0114,0.0625,0.0233,3.3220,967.1668,0.4852,0.0070,0.0082,0.0138,0.0067
Bus,54,2.9782,1259.7050,3.3759,0.0261,0.0114,0.0629,0.0250,3.2327,962.8166,0.5088,0.0076,0.0082,0.0137,0.0073
Bus,55,2.8388,1252.0397,3.5783,0.0279,0.0113,0.0634,0.0267,3.1435,958.4663,0.5324,0.0082,0.0082,0.0137,0.0078
Bus,56,2.9208,1268.5531,3.5566,0.0303,0.0114,0.0664,0.0290,3.2439,976.2456,0.5594,0.0089,0.0083,0.0141,0.0085
Bus,57,3.0029,1285.0664,3.5349,0.0326,0.0116,0.0693,0.0312,3.3442,994.0250,0.5864,0.0096,0.0084,0.0144,0.0092
Bus,58,3.0850,1301.5798,3.5132,0.0349,0.0117,0.0723,0.0334,3.4446,1011.8043,0.6133,0.0104,0.0086,0.0148,0.0099
Bus,59,3.1671,1318.0932,3.4915,0.0372,0.0118,0.0753,0.0356,3.5449,1029.5836,0.6403,0.0111,0.0087,0.0152,0.0106
Bus,60,3.2492,1334.6065,3.4698,0.0396,0.0119,0.0782,0.0378,3.6453,1047.3629,0.6673,0.0118,0.0088,0.0156,0.0113
Bus,61,3.1376,1357.3126,3.5254,0.0452,0.0122,0.0847,0.0432,3.3385,1067.0328,0.7561,0.0135,0.0091,0.0159,0.0129
Bus,62,3.0260,1380.0187,3.5809,0.0508,0.0124,0.0911,0.0486,3.0317,1086.7026,0.8449,0.0152,0.0094,0.0163,0.0145
Bus,63,2.9145,1402.7247,3.6365,0.0564,0.0126,0.0976,0.0539,2.7248,1106.3724,0.9338,0.0169,0.0097,0.0166,0.0162
Bus,64,2.8029,1425.4308,3.6920,0.0620,0.0129,0.1040,0.0593,2.4180,1126.0422,1.0226,0.0186,0.0099,0.0169,0.0178
Bus,65,2.6914,1448.1369,3.7475,0.0676,0.0131,0.1105,0.0646,2.1112,1145.7121,1.1114,0.0203,0.0102,0.0173,0.0194
Bus,66,2.7330,1459.9054,3.4083,0.0593,0.0132,0.1036,0.0567,2.0966,1149.4634,1.0159,0.0184,0.0103,0.0172,0.0176
Bus,67,2.7747,1471.6740,3.0692,0.0510,0.0133,0.0968,0.0487,2.0819,1153.2148,0.9203,0.0164,0.0103,0.0170,0.0157
Bus,68,2.8163,1483.4425,2.7300,0.0427,0.0135,0.0899,0.0408,2.0673,1156.9661,0.8248,0.0145,0.0104,0.0169,0.0139
Bus,69,2.8579,1495.2110,2.3908,0.0344,0.0136,0.0831,0.0329,2.0527,1160.7175,0.7292,0.0126,0.0104,0.0168,0.0120
Bus,70,2.8996,1506.9796,2.0516,0.0261,0.0137,0.0762,0.0249,2.0380,1164.4688,0.6337,0.0107,0.0105,0.0167,0.0102
